chiave,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,year,title,volume,issue,autori
journal-article-10.2307_23597107,0,0,0.052037347,0.07715094,0,0,0.72397137,0.14679989,0,0,1988,"The movement from real to abstract value theory, 1817—1959",12,2,Gramm&
journal-article-10.2307_23597108,0,0.7075532,0,0,0,0,0.2922425,0,0,0,1988,Regularity in price changes as an effect of changes in distribution,12,2,Bienenfeld&
journal-article-10.2307_23597109,0,0.04818006,0.18171377,0,0,0,0.40886077,0,0.3275989, 0.033582374,1988,Integrating the financing of production and a rate of interest into production price models,12,2,Franke&
journal-article-10.2307_23597110,0,0.3400313,0.37216276,0,0,0,0.28732532,0,0,0,1988,The existence of a two-class economy in a general Cambridge model of growth and distribution: an addendum,12,2,Salvadori&
journal-article-10.2307_23597111,0,0.012620738,0,0,0.15225463,0.823836,0,0.011233423,0,0,1988,The political economy of international trade in services,12,2,Nayyar&
journal-article-10.2307_23598082,0,0,0.05627607,0.15318945,0.051446076,0.46657774,0.12052664,0.15194002,0,0,1985,Dirigisme and development economics,9,1,Toye&
journal-article-10.2307_23598083,0,0,0,0.049378473,0,0.32013106,0.07091637,0,0.45414987, 0.10538151,1985,Conflicts in international economic policy and the world recession: a theoretical analysis,9,1,Vandenbroucke&
journal-article-10.2307_23598084,0,0,0,0,0.63620925,0,0,0,0.12517379, 0.23852803,1985,A re-examination of merger studies that use the capital asset pricing model methodology,9,1,Conn&
journal-article-10.2307_23598085,0,0.5283122,0,0,0,0,0.08346934,0,0, 0.38816026,1985,The rate of surplus value in the postwar US economy: a critique of Weisskopf's estimates,9,1,Moseley&
journal-article-10.2307_23598086,0,0.2634973,0.17731011,0,0,0,0.14172512,0,0, 0.41719624,1985,The rate of surplus value in the postwar US economy: a response to Moseley's critique,9,1,Weisskopf&
journal-article-10.2307_23598087,0,0.6063123,0,0,0,0,0.37435818,0,0, 0.019013865,1985,Pasinetti on the choice of technique: a note,9,1,Englmann&
journal-article-10.2307_23598088,0,0,0,0,0,0.011819855,0.98785627,0,0,0,1985,Robert Torrens and Ricardo's 'corn-ratio' theory of profits,9,1,de Vivo&
journal-article-10.2307_23598089,0.10741003,0.65111834,0,0.010107744,0.23130599,0,0,0,0,0,1985,The restructuring of the British coal industry,9,1,Burns&Newby&Winterton&Winterton&
journal-article-10.2307_23598092,0,0,0,0,0,0,0,0.99242914,0,0,1987,[Editorial notice,11,1,
journal-article-10.2307_23598093,0,0,0.053529374,0,0.022833548,0.5826665,0.17675163,0.15730882,0,0,1987,Marxist economics and contemporary developing economies,11,1,Chakravarty&
journal-article-10.2307_23598094,0.30191857,0,0,0,0,0.2784534,0,0,0, 0.41957548,1987,"Impoverishment, technology and growth in rural India",11,1,Gaiha&
journal-article-10.2307_23598095,0,0.09954551,0,0.041618492,0,0.011470617,0,0,0.8471759,0,1987,Usury and collateral pricing: towards an alternative explanation,11,1,Gangopadhyay&Sengupta&
journal-article-10.2307_23598096,0.9283626,0,0,0,0,0,0,0,0, 0.07150046,1987,"How long is a piece of elastic? The measurement of female activity rates in British censuses, 1951—1981",11,1,Joshi&Owen&
journal-article-10.2307_23598097,0,0,0.7582944,0,0,0,0.02827219,0,0, 0.21323258,1987,"Alternative closures again: a comment on 'Growth, distribution and inflation'",11,1,Dutt&
journal-article-10.2307_23598098,0.9997928,0,0,0,0,0,0,0,0,0,1987,Part-time employment: Britain and West Germany,11,1,Schoer&
journal-article-10.2307_23598101,0,0,0,0,0.25764707,0,0,0.043394644,0, 0.6988302,1986,Innovation clusters and Kondratieff long waves in economic growth,10,2,Solomou&
journal-article-10.2307_23598102,0.42519167,0,0,0,0,0.46012986,0,0,0, 0.11458677,1986,"Export-led development, labour-market conditions and the distribution of income: the case of Singapore",10,2,Islam&Kirkpatrick&
journal-article-10.2307_23598103,0.49056476,0.4798404,0,0,0.029526602,0,0,0,0,0,1986,The historical origin of job ladders in the US canning industry and their effects on the gender division of labour,10,2,Brown&Philips&
journal-article-10.2307_23598104,0.25200355,0,0,0.09085535,0.38378644,0.2500881,0,0,0.023217622,0,1986,Redundancy and solidarity: tripartite politics and the contraction of the West European shipbuilding industry,10,2,Stråth&
journal-article-10.2307_23598105,0.051394068,0,0,0.097792536,0,0.7456601,0.046271615,0.05005187,0,0,1986,The economic problems of the transition from war to peace: 1945—49,10,2,Robinson&
journal-article-10.2307_23598106,0,0,0,0,0,0,0.99949145,0,0,0,1986,Malthus's discussion of the corn ratio theory of profits,10,2,Prendergast&
journal-article-10.2307_23598107,0,0,0,0,0,0,0,0,0.99979407,0,1986,"Asimakopulos on Kalecki and Keynes on finance, investment and saving",10,2,Richardson&
journal-article-10.2307_23598108,0,0,0,0,0,0,0.016832214,0,0.9826347,0,1986,Richardson on Asimakopulos on finance: a reply,10,2,Asimakopulos&
journal-article-10.2307_23598112,0,0,0,0,0.011982116,0.8811912,0,0.10676756,0,0,1988,An historical interpretation of the Iranian Revolution,12,4,Moghadam&Moghadam&
journal-article-10.2307_23598113,0,0,0,0,0,0,0,0,0, 0.99235433,1988,Growth—distribution trade-offs: the role of capacity utilisation,12,4,Mohtadi&
journal-article-10.2307_23598114,0,0,0.8210875,0,0,0.011992212,0.1668241,0,0,0,1988,The Ricardian tradition and local property taxation,12,4,Mair&Damania&
journal-article-10.2307_23598115,0.05876488,0.28362346,0,0,0.61135066,0.01233738,0,0.03387947,0,0,1988,Restructuring the capitalist labour process: some lessons from the car industry,12,4,Kaplinsky&
journal-article-10.2307_23598116,0.015012209,0.19228914,0.4524387,0,0.022242533,0,0,0,0, 0.3178932,1988,"A small, open share economy",12,4,Aage&
journal-article-10.2307_23598117,0,0.6290491,0,0,0,0,0.3705332,0,0,0,1988,No reswitching? No switching!,12,4,Salvadori&Steedman&
journal-article-10.2307_23598118,0.95823693,0,0,0,0.04168506,0,0,0,0,0,1988,The extent and nature of temporary employment in Britain,12,4,Casey&
journal-article-10.2307_23598123,0,0.10040312,0.037888676,0.047611423,0.0594579,0,0.10866824,0,0, 0.6459212,1989,Exchange rate adjustment and oligopoly pricing behaviour,13,3,Cowling&Sugden&
journal-article-10.2307_23598124,0,0,0.37903285,0,0,0.027365925,0,0,0.08905547, 0.50448257,1989,"International competition, income distribution and economic growth",13,3,Blecker&
journal-article-10.2307_23598125,0,0.7831467,0,0,0,0,0.1330233,0,0, 0.08374431,1989,"Values, prices, and wage-profit curves in the US economy",13,3,Ochoa&
journal-article-10.2307_23598127,0,0.47515336,0,0,0,0,0.52477115,0,0,0,1989,The transformation problem solved?,13,3,Szumski&
journal-article-10.2307_23598128,0,0,0.79906356,0,0,0,0,0,0.20060092,0,1989,Boulding's theory of distribution in a neo-Pasinetti framework,13,3,Rimmer&
journal-article-10.2307_23598129,0,0,0,0,0,0,0.42919713,0.5706938,0,0,1989,"On P. Mirowski's 'Physics and the ""Marginalist Revolution"" '",13,3,Hollander&
journal-article-10.2307_23598130,0,0,0,0,0,0,0.27676746,0.72301257,0,0,1989,On Hollander's 'substantive identity' of classical and neoclassical economics: a reply,13,3,Mirowski&
journal-article-10.2307_23598131,0,0.39894083,0,0,0,0,0.51501036,0,0, 0.08384942,1989,Growing subsystems and vertically hyper-integrated sectors: a note of clarification,13,3,Pasinetti&
journal-article-10.2307_23598135,0.16086079,0.094797656,0.0970445,0.20032825,0.24258175,0,0.06984284,0.13450612,0,0,1988,Neoclassical and Marxian conceptions of production,12,3,Green&
journal-article-10.2307_23598136,0,0,0,0.7662747,0,0,0,0.22543198,0,0,1988,Limits to the expansion of neoclassical economics,12,3,Nicolaides&
journal-article-10.2307_23598137,0,0,0,0.6852782,0,0,0.09559839,0.01608228,0.1916037, 0.011349197,1988,A technical definition of uncertainty and the long-run non-neutrality of money,12,3,Davidson&
journal-article-10.2307_23598138,0,0,0.37860566,0,0,0,0,0,0.46144545, 0.1598639,1988,"Finance, saving and accumulation",12,3,Skott&
journal-article-10.2307_23598139,0,0.5271333,0.0341144,0,0,0,0.4384879,0,0,0,1988,The falling rate of profit and joint production,12,3,Bidard&
journal-article-10.2307_23598140,0,0,0,0,0,0.6503207,0,0,0.34964314,0,1988,Third World debt and its effects on the British economy: a Southern view of economic mismanagement in the North,12,3,Marcel&Palma&
journal-article-10.2307_23598143,0,0,0.5606234,0,0,0.20745562,0.038047068,0.1937476,0,0,1989,Kaldor's contribution to economics: an introduction,13,1,Lawson&Palma&Sender&
journal-article-10.2307_23598144,0,0,0.0688687,0,0.027051622,0.014141433,0.84699327,0,0, 0.042845335,1989,The assumption of constant returns to scale,13,1,Hicks&
journal-article-10.2307_23598145,0,0,0.29961693,0.24108107,0.066934295,0,0.30416432,0,0, 0.08799606,1989,Kaldor on welfare,13,1,de V. Graaff&
journal-article-10.2307_23598146,0,0,0.8678289,0,0,0,0.01885843,0,0.11319086,0,1989,Ricardian debt/taxation equivalence in the Kaldor theory of profits and income distribution,13,1,Pasinetti&
journal-article-10.2307_23598147,0,0.26541352,0.73439646,0,0,0,0,0,0,0,1989,Growth and distribution: a neoclassical Kaldor—Robinson exercise,13,1,Tobin&
journal-article-10.2307_23598148,0,0,0.44660124,0.024648,0,0,0.38141027,0,0, 0.1472221,1989,Kaldor on growth,13,1,Hahn&
journal-article-10.2307_23598149,0,0,0,0,0,0,0.1390609,0.82712364,0, 0.023807166,1989,"Abstraction, tendencies and stylised facts: a realist approach to economic analysis",13,1,Lawson&
journal-article-10.2307_23598150,0,0,0.010680465,0.02063262,0.30991662,0.028257033,0.0622973,0.17473881,0, 0.39345652,1989,Institutional rigidities and economic growth,13,1,Hodgson&
journal-article-10.2307_23598151,0,0,0,0,0,0.6095545,0,0,0, 0.39036116,1989,Third World competition and de-industrialisation in advanced countries,13,1,Singh&
journal-article-10.2307_23598152,0.048150193,0,0.34881407,0.071889594,0,0.46097788,0,0.020986596,0.04914703,0,1989,Kaldor as a policy adviser,13,1,Thirlwall&
journal-article-10.2307_23598153,0.071147054,0,0.81562567,0.05437591,0,0.058771923,0,0,0,0,1989,Tax reform in the United Kingdom,13,1,Reddaway&
journal-article-10.2307_23598154,0,0,0.018598454,0,0,0.5367029,0,0,0.04581748, 0.39880788,1989,The macroeconomics of protectionism: the case of Britain in the 1930s,13,1,Kitson&Solomou&
journal-article-10.2307_23598155,0,0,0.23450097,0,0,0,0.07354164,0.040013924,0.6166312, 0.03523904,1989,The scourge of the monetarists: Kaldor on monetarism and on money,13,1,Desai&
journal-article-10.2307_23598156,0,0,0.48222688,0.10415832,0,0.3794014,0,0.034155842,0,0,1989,Nicholas Kaldor and tax reform in developing countries,13,1,Toye&
journal-article-10.2307_23598157,0,0,0.046259053,0.026120964,0,0.23218504,0.27391613,0,0.33550695, 0.085984774,1989,Kaldor on commodities,13,1,Spraos&
journal-article-10.2307_23598158,0,0,0,0,0,0.63460934,0.16882749,0,0.17720027, 0.019293554,1989,Nicholas Kaldor's contribution to the analysis of international monetary reform,13,1,Griffith-Jones&
journal-article-10.2307_23598159,0,0,0.51593304,0,0,0.4354141,0,0.048497617,0,0,1989,Nicholas Kaldor on Indian economic problems,13,1,Chakravarty&
journal-article-10.2307_23598160,0,0,0.3845969,0,0,0.61535764,0,0,0,0,1989,Kaldor on the 'discreet charm' of the Chilean bourgeoisie,13,1,Palma&Marcel&
journal-article-10.2307_23598163,0,0,0.044278163,0,0,0.64469993,0,0.31058115,0,0,1991,"Sukhamoy Chakravarty, 26 July 1934—22 August 1990",15,1,Harcourt&Singh&
journal-article-10.2307_23598164,0,0,0.018939847,0.19338112,0.063880116,0.40858567,0.1380768,0.1770981,0,0,1991,Development planning: a reappraisal,15,1,Chakravarty&
journal-article-10.2307_23598165,0,0.5237335,0,0,0.476195,0,0,0,0,0,1991,"Brand reputation, efficiency and the concentration process: a case study",15,1,Paba&
journal-article-10.2307_23598166,0,0.7871388,0,0,0,0,0.16715728,0,0.04562479,0,1991,"Technological innovation, international production prices and exchange rates",15,1,Carchedi&
journal-article-10.2307_23598167,0,0,0,0.67504036,0,0,0,0.3248791,0,0,1991,Keynes's critiques of Moore: philosophical foundations of Keynes's economics,15,1,Davis&
journal-article-10.2307_23598168,0,0.48481038,0.29841638,0,0,0,0.21669555,0,0,0,1991,Accumulation of capital and the foundation of the tendency of the rate of profit to fall,15,1,Reuten&
journal-article-10.2307_23598169,0.025122609,0,0.13011716,0.2337924,0,0.5786248,0,0.03216961,0,0,1991,The beginning of the Economic Section of the Cabinet Office,15,1,Robinson&
journal-article-10.2307_23598170,0,0,0,0.31875998,0,0,0,0.6385369,0.04259319,0,1991,Das Maynard Keynes Problem,15,1,Bateman&
journal-article-10.2307_23598171,0,0,0,0.03724215,0,0.94077086,0,0.021895977,0,0,1991,Prospects for the Chinese economy,15,1,Nolan&
journal-article-10.2307_23598174,0.9727203,0,0,0,0,0,0,0,0.027226195,0,1991,"Labour law, social security and economic inequality",15,2,Deakin&Wilkinson&
journal-article-10.2307_23598175,0,0,0.15290067,0,0,0,0.84698945,0,0,0,1991,Jevons's 'blunder' concerning value and distribution: an explanation,15,2,White&
journal-article-10.2307_23598176,0.15493271,0.061572984,0,0.12875246,0,0.11863598,0,0,0.53605354,0,1991,"Segmentation, collateral undervaluation, and the rate of interest in agrarian credit markets: some evidence from two villages in South India",15,2,Swaminathan&
journal-article-10.2307_23598177,0,0,0,0,0,0.48962647,0,0,0.48121578, 0.029096348,1991,Swings and paradoxes in international capital markets: a theoretical note,15,2,Sen&
journal-article-10.2307_23598178,0.088452585,0,0.23356348,0,0,0,0.6713791,0,0,0,1991,The relationship of wages to the value of labour-power in Marx's labour market,15,2,Green&
journal-article-10.2307_23598179,0,0,0,0,0,0,0.99989426,0,0,0,1991,Corn models in the classical tradition: P. Sraffa considered historically,15,2,Skourtos&
journal-article-10.2307_23598180,0,0.014359546,0,0,0.26568827,0.23898464,0.17871453,0,0, 0.30216163,1991,Sectoral transformation and economic decline: views from Berkeley and Cambridge,15,2,Hall&
journal-article-10.2307_23598183,0,0.02367489,0,0.023683375,0.077766135,0.53532207,0,0,0.3395006,0,1989,Contradictions in China's financial reforms: the relationship between banks and enterprises,13,4,Bowles&White&
journal-article-10.2307_23598184,0.046343423,0,0.13870253,0,0,0.37560266,0,0,0, 0.43929094,1989,"The military burden, economic growth, and the human suffering index: evidence from the LDCs",13,4,Hess&
journal-article-10.2307_23598185,0.7999275,0,0,0,0,0.13017677,0,0.069833174,0,0,1989,"Gender, differential mortality and development: the experience of Kerala",13,4,Kumar&
journal-article-10.2307_23598186,0,0,0,0,0,0.22025119,0.045785222,0.04650011,0, 0.6873916,1989,De-industrialisation in advanced economies,13,4,Stafford&
journal-article-10.2307_23598187,0,0.37440884,0,0,0,0,0.62534636,0,0,0,1989,Marx's transformation problem and Ricardo's invariant measure,13,4,Patnaik&
journal-article-10.2307_23598188,0.026279658,0,0,0,0,0.71564484,0,0,0.2579492,0,1989,Deceleration of inflation with acceleration of price reform: Vietnam's remarkable recent experience,13,4,Wood&
journal-article-10.2307_23598193,0.12466522,0.72783524,0,0,0,0,0.11016683,0,0, 0.037280068,1990,"Productive labour, price/value ratio and rate of surplus value: theoretical viewpoints and empirical evidence",14,1,Gouverneur&
journal-article-10.2307_23598194,0,0,0,0.13572143,0,0,0.15953994,0.69486606,0,0,1990,Keynes on mathematics: philosophical foundations and economic applications,14,1,O'Donnell&
journal-article-10.2307_23598195,0,0.09128508,0.10057932,0.1531998,0,0.012741084,0,0,0.605246, 0.036900677,1990,On the meaning of aggregate excess supply and demand for consumer goods in Soviet-type economies,14,1,Roland&
journal-article-10.2307_23598196,0.7326838,0.2541555,0,0,0.013090657,0,0,0,0,0,1990,Mechanisation and the gender-based division of labour in the US cigar industry,14,1,Prus&
journal-article-10.2307_23598197,0,0,0,0,0.27077726,0,0,0.07644505,0, 0.65264624,1990,Are there Schumpeterian waves of innovations?,14,1,Kleinknecht&
journal-article-10.2307_23598198,0.3120498,0,0,0,0,0.08245321,0,0,0.59653187,0,1990,Interest rates in backward agriculture: the role of economic and extra-economic control,14,1,Sarap&
journal-article-10.2307_23598199,0,0,0,0,0,0.45482418,0,0,0.5450976,0,1990,Debt-equity swaps in Chile,14,1,French-Davis&Ffrench-Davis&
journal-article-10.2307_23598202,0.95866734,0,0,0,0.0412633,0,0,0,0,0,1991,Gender and working time: an analysis of employers' working-time policies,15,4,Horrell&Rubery&
journal-article-10.2307_23598203,0,0,0.23586434,0.039432384,0.22318766,0,0,0,0.5014322,0,1991,"The investment, financing and control of the firm: a long-run survival view",15,4,Chamberlain&Gordon&
journal-article-10.2307_23598204,0,0,0,0.763591,0,0,0.062883325,0.17345555,0,0,1991,"Time, expectations and subjectivism: prolegomena to a dynamic economics",15,4,Parsons&
journal-article-10.2307_23598205,0.016065042,0,0.102073014,0.096490525,0,0,0,0.022011599,0, 0.76331586,1991,"Corporatism, profit squeeze and investment",15,4,Henley&Tsakalotos&
journal-article-10.2307_23598206,0.8170784,0,0.030054206,0,0,0.07403233,0,0.06154538,0, 0.017242976,1991,'Bread and a pennyworth of treacle': excess female mortality in England in the 1840s,15,4,Humphries&
journal-article-10.2307_23598207,0,0.14815378,0,0,0,0,0.7192966,0,0, 0.13210393,1991,A consumption-growth linear relation,15,4,Bellino&Femminis&
journal-article-10.2307_23598208,0,0,0,0,0,0.7164626,0,0,0.2834624,0,1991,Convertibility of the rouble,15,4,Ellman&
journal-article-10.2307_23598213,0,0.22302392,0,0,0.72664416,0,0.022325136,0,0, 0.0279772,1989,"The transition to flexible specialisation in the US film industry: external economies, the division of labour, and the crossing of industrial divides",13,2,Storper&
journal-article-10.2307_23598214,0,0,0,0,0,0.2165715,0,0,0, 0.7833524,1989,Rural poverty and relative prices in India,13,2,Ghose&
journal-article-10.2307_23598215,0.07876726,0,0,0,0,0.11810913,0,0,0, 0.7940415,1989,"Poverty, agricultural production and prices in rural India—a reformulation",13,2,Gaiha&
journal-article-10.2307_23598216,0.059035923,0,0,0,0.045227792,0.16095486,0.355751,0.34667704,0, 0.031997196,1989,Reflections on modern economics,13,2,Baumol&
journal-article-10.2307_23598217,0.86124146,0,0,0,0.13864012,0,0,0,0,0,1989,Flexibility by law? The West German Employment Promotion Act and temporary employment,13,2,Dombois&
journal-article-10.2307_23598220,0.6274832,0,0,0.026290212,0.094606936,0,0.0309788,0.21473081,0,0,1991,Testing for racial discrimination in the labour market,15,3,Riach&Rich&
journal-article-10.2307_23598221,0,0,0,0,0,0,0.9826415,0,0.017250072,0,1991,"Marx's theory of value, exchange and surplus value: a suggested reformulation",15,3,Cartelier&
journal-article-10.2307_23598222,0,0.34141004,0,0,0,0,0,0,0, 0.6584846,1991,Wage—profit curves in US manufacturing,15,3,Michl&
journal-article-10.2307_23598223,0,0,0.904956,0,0,0,0,0,0.09489695,0,1991,A generalisation and simplification of the Cambridge Theorem with budget deficits,15,3,Dalziel&
journal-article-10.2307_23598224,0,0.06143829,0.3473949,0,0,0,0,0,0.59107167,0,1991,Financing in Kalecki's theory,15,3,Messori&
journal-article-10.2307_23598225,0.12632905,0.032825034,0,0.021128334,0.64019316,0,0.1794967,0,0,0,1991,"Property rights, asset specificity, and the division of labour under alternative capitalist relations",15,3,Pagano&
journal-article-10.2307_23598226,0,0,0.3293071,0,0,0.2730516,0,0,0, 0.3974895,1991,"Stagnation, income distribution and the agrarian constraint: a note",15,3,Dutt&
journal-article-10.2307_23598227,0,0.103463456,0,0,0,0,0.89559275,0,0,0,1991,Dr Mühlpfort and the 'transformation problem': a reassessment,15,3,Gilibert&
journal-article-10.2307_23598228,0,0.09638592,0,0,0,0,0.90299344,0,0,0,1991,Dr Mühlpfort and the 'transformation problem': a reply to Giorgio Gilibert,15,3,Howard&King&
journal-article-10.2307_23598229,0,0.17059615,0,0,0,0,0.82912594,0,0,0,1991,Szumski's validation of the Labour Theory of Value: a comment,15,3,Duménil&Lévy&
journal-article-10.2307_23598230,0,0.48197156,0,0,0,0,0.5177629,0,0,0,1991,On Duménil and Lévy's denial of the existence of the so-called transformation problem: a reply,15,3,Szumski&
journal-article-10.2307_23598233,0.010040876,0,0.17312612,0.24883738,0.42945173,0.13849169,0,0,0,0,1990,Scaling the commanding heights of public enterprise economics,14,2,Fine&
journal-article-10.2307_23598234,0,0,0,0.018818283,0,0,0,0.96499133,0.01610907,0,1990,Beyond dualism,14,2,Dow&
journal-article-10.2307_23598235,0.5073846,0,0,0,0,0.27886322,0,0.20735456,0,0,1990,"From labour market exclusion to industrial solidarity: Australian trade union responses to Asian workers, 1830-1988",14,2,Quinlan&Lever-Tracy&
journal-article-10.2307_23598236,0,0.04937894,0.48024935,0,0,0.24795479,0,0,0.20529845, 0.01707605,1990,Kalecki on financing development: an approach to the macroeconomics of the semi-industrialised economy,14,2,FitzGerald&
journal-article-10.2307_23598237,0,0.1575199,0.5007481,0,0,0,0.187436,0,0, 0.15418047,1990,"Effective demand, employment and capital utilisation in the short run",14,2,Kurz&
journal-article-10.2307_23598238,0,0,0,0.23483527,0.029558547,0,0,0.7354712,0,0,1990,Institutional economics and the theory of cognition,14,2,Samuels&
journal-article-10.2307_23598239,0,0.5622945,0,0,0,0,0.29490343,0,0.14227813,0,1990,Growth and distribution: a muddling exercise,14,2,Steedman&
journal-article-10.2307_23598240,0,0,0.3644087,0,0,0,0.62675464,0,0,0,1990,Growth and distribution: a reply,14,2,Tobin&
journal-article-10.2307_23598241,0.05826305,0.05325824,0,0,0.20822053,0.62993395,0,0.05019805,0,0,1990,Comments on Chakravarty's 'Marxist economics and contemporary developing economies',14,2,"Wan,&"
journal-article-10.2307_23598243,0,0.99962467,0,0,0,0,0,0,0,0,1990,The application of Pasinetti's vertical hyper-integration to time-saving technical progress and the input—output table,14,2,Oda&
journal-article-10.2307_23598376,0,0,0.5457433,0,0,0,0,0,0, 0.45417365,1990,Unemployment and the real wage: the economic basis for contesting political ideologies,14,4,Bhaduri&Marglin&
journal-article-10.2307_23598377,0,0,0.81759685,0,0.07310568,0.08670092,0,0.02248388,0,0,1990,The political economy of military expenditure: an introduction,14,4,Dunne&
journal-article-10.2307_23598378,0.047327302,0,0.5658802,0,0,0,0,0,0, 0.3787087,1990,Defence spending and unemployment rates: an empirical analysis disaggregated by race,14,4,Abell&
journal-article-10.2307_23598379,0,0,0.8030439,0,0,0.10164221,0,0,0, 0.095233515,1990,"What price cold war? Military spending and private investment in the US, 1946—1979",14,4,Edelstein&
journal-article-10.2307_23598380,0,0,0.25382662,0,0.09593004,0.42238826,0,0,0.08591753, 0.14186524,1990,War and Wall Street: the impact of military conflict on investor attitudes,14,4,Kaun&
journal-article-10.2307_23598381,0.019317392,0,0.19649808,0,0.549151,0.23496266,0,0,0,0,1990,Military expenditure and the restructuring of capitalism: the military industry in Britain,14,4,Lovering&
journal-article-10.2307_23598382,0.02165129,0,0.26649645,0,0.5644584,0.14732842,0,0,0,0,1990,Conversion policy in the UK,14,4,Willett&
journal-article-10.2307_23598383,0.07614409,0,0.106417745,0,0.4246994,0.39266324,0,0,0,0,1990,Defence procurement and employment: the case of UK shipbuilding,14,4,Hilditch&
journal-article-10.2307_23598384,0.17940432,0,0.090269856,0.057226367,0.30579922,0.34179887,0,0.025420597,0,0,1990,Defence and the environment: the impacts of military live firing in national parks,14,4,Owens&
journal-article-10.2307_23598408,0,0.3151553,0,0.2508411,0,0.43393305,0,0,0,0,1990,"Price regulation in Hungary, 1968—87: a behavioural—institutional explanation",14,3,Swaan&
journal-article-10.2307_23598409,0,0,0,0.09466271,0.8204207,0,0.04236455,0,0.042427473,0,1990,Deindustrialisation and business organisation: an institutionalist critique of the natural selection analogy,14,3,Seal&
journal-article-10.2307_23598410,0,0,0.15982325,0.15325993,0,0,0.45729247,0,0.22955123,0,1990,Keynes and the long period,14,3,de Carvalho&
journal-article-10.2307_23598411,0.01508692,0.40437642,0,0,0.22808371,0.35240725,0,0,0,0,1990,Institutions and dynamic comparative advantage: the electronics industry in South Korea and Taiwan,14,3,Mody&
journal-article-10.2307_23598412,0.9880381,0,0.011864297,0,0,0,0,0,0,0,1990,How precarious is 'non-standard' employment? Evidence for West Germany,14,3,Büchtemann&Quack&
journal-article-10.2307_23598413,0,0.11282162,0.14109462,0,0,0,0.39960736,0,0, 0.34617284,1990,The relationship between per capita consumption and the growth rate: a note,14,3,Hosoda&
journal-article-10.2307_23598414,0,0,0.8093353,0,0,0,0,0,0.19034246,0,1990,Public debt and the Pasinetti Paradox,14,3,Denicolò&Matteuzzi&
journal-article-10.2307_23598415,0.23172855,0,0.10803161,0.087157205,0,0.54832524,0,0.024550995,0,0,1990,Two contrasting phenomena in China's income distribution,14,3,Renwei&
journal-article-10.2307_23598416,0.39753512,0,0.035276417,0,0.20619921,0.035736952,0,0,0, 0.32521582,1990,Wage polarisation in the US and the 'flexibility' debate,14,3,Harrison&Bluestone&
journal-article-10.2307_23599519,0.027033882,0,0,0,0,0.054467954,0.8243178,0.09396643,0,0,1988,Introduction,12,1,Harcourt&
journal-article-10.2307_23599520,0.018785158,0,0,0,0,0.010348118,0.60344726,0,0.36737803,0,1988,Sraffa on money and banking,12,1,Panico&
journal-article-10.2307_23599521,0,0,0,0,0,0,0.41394594,0.58588743,0,0,1988,"Sraffa, Wittgenstein and neoclassical economics",12,1,Davis&
journal-article-10.2307_23599522,0,0,0,0,0.1670093,0,0.83273304,0,0,0,1988,Sraffa and imperfect competition,12,1,Newman&Vassilakis&
journal-article-10.2307_23599523,0,0,0,0,0,0,0.41845104,0,0.58143145,0,1988,"Money, capital and forced saving",12,1,Milgate&
journal-article-10.2307_23599524,0.043769717,0,0,0,0,0.18730499,0.6748229,0.09401363,0,0,1988,The collaboration of Maurice Dobb in Sraffa's edition of Ricardo,12,1,Pollitt&
journal-article-10.2307_23599525,0,0,0,0,0,0,0.9999222,0,0,0,1988,Sraffa's Ricardo,12,1,Bharadwaj&
journal-article-10.2307_23599526,0,0.4013627,0,0,0,0,0.54964834,0,0, 0.048804566,1988,Sraffian interdependence and partial equilibrium analysis,12,1,Steedman&
journal-article-10.2307_23599527,0,0.6078289,0.04807584,0,0,0,0.3440438,0,0,0,1988,The dominant technique in joint production systems,12,1,Schefold&
journal-article-10.2307_23599528,0,0.6752805,0,0,0,0,0.32455304,0,0,0,1988,"Growing subsystems, vertically hyper-integrated sectors and the labour theory of value",12,1,Pasinetti&
journal-article-10.2307_23599529,0,0,0.17767185,0,0,0,0.8218545,0,0,0,1988,Sraffa on income distribution,12,1,Pasinetti&
journal-article-10.2307_23599530,0,0.026014592,0.09469135,0.01059741,0.11938238,0,0.7492863,0,0,0,1988,On the classical theory of competition,12,1,Harris&
journal-article-10.2307_23599531,0,0.38007283,0,0,0.14531317,0,0.47448313,0,0,0,1988,Where do we go from here? 1. Technical change and dynamics,12,1,Landesmann&
journal-article-10.2307_23599532,0.33592388,0.21804145,0.3051296,0,0,0.14082567,0,0,0,0,1988,"Where do we go from here? 2. Real wages, effective demand and economic development",12,1,Wilkinson&
journal-article-10.2307_23599538,0.29502672,0.2245842,0,0,0.051764242,0,0,0,0, 0.42856866,1992,Technical change and the demand for skills by US industries,16,2,Howell&Wolff&
journal-article-10.2307_23599539,0,0.34051356,0.3084139,0,0.23040539,0,0,0,0, 0.12061862,1992,Unproductive expenditure in manufacturing,16,2,Thompson&
journal-article-10.2307_23599540,0,0.41083294,0,0.10394427,0.48517725,0,0,0,0,0,1992,The four 'worlds' of contemporary industry,16,2,Salais&Storper&
journal-article-10.2307_23599541,0,0,0.9450487,0,0,0,0,0,0, 0.054816447,1992,The short-period incidence of taxation revisited,16,2,Damania&Mair&
journal-article-10.2307_23599542,0.0372642,0.024283383,0,0,0,0.866532,0.0718613,0,0,0,1992,A Ricardian interpretation of the provision of public housing services in Hong Kong,16,2,Ho&
